run_id	method	method_specific_params	dataset	num_given_topics	reduced	topic_num	topic_size	topic_words	word_scores	num_detected_topics	num_final_topics	duration_secs	diversity_unique	diversity_inv_rbo	coherence_npmi	coherence_v	rand_index
1658734616	top2vec	{'doc2vec_speed': 'fast-learn', 'min_count': 30, 'embedding_model': 'doc2vec', 'umap_args': {'n_neighbors': 15, 'n_components': 5, 'metric': 'cosine', 'random_state': 42}, 'hdbscan_args': {'min_cluster_size': 10, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}}	20news	20	True	0	2785	"['pmfq' 'mfq' 'nuy' 'nriz' 'bhjn' 'wwiz' 'ghj' 'giz' 'nrhj' 'cx_s' 'sy_'
 'sc_' 'qwm' 'bxn' 'qax' 'gizw' 'geode' 'x_s' 'pmf' 'ax' 'klj' 'medraut'
 'bhj' 'fyn' 'fq' 'scx' 'yx' 'keown' 'cosmo' 'mcfarlane' 'okz' 'vmk' 'ei'
 'xxi' 'chatham' 'hobgoblin' 'rlk' 'chz' 'sabretooth' 'qn' 'janney' 'fij'
 'macinnis' 'gy' 'liefeld' 'qv' 'adirondack' 'xvoid' 'maxbyte' 'pwiseman']"	"[0.48925206 0.48270375 0.47390762 0.47118083 0.47013432 0.46767378
 0.4648672  0.46110266 0.4598544  0.45750922 0.45714822 0.4554767
 0.45251667 0.45114025 0.450886   0.44955003 0.44899732 0.44819298
 0.44467223 0.44390863 0.4411487  0.43901277 0.43605718 0.43506864
 0.43200287 0.4309078  0.42978364 0.4294071  0.42767575 0.42718044
 0.42656296 0.42574832 0.42308286 0.42192551 0.41803288 0.41608822
 0.41290104 0.41288164 0.41227716 0.41217628 0.4087598  0.40820357
 0.4076336  0.40389213 0.40232414 0.39967716 0.39957446 0.3974452
 0.39644763 0.3958511 ]"	371	20	1008.731	0.71	0.9372377560661278		0.41879311135064035	0.9066544274300811
1658734616	top2vec	{'doc2vec_speed': 'fast-learn', 'min_count': 30, 'embedding_model': 'doc2vec', 'umap_args': {'n_neighbors': 15, 'n_components': 5, 'metric': 'cosine', 'random_state': 42}, 'hdbscan_args': {'min_cluster_size': 10, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}}	20news	20	True	1	1807	"['geode' 'xvoid' 'motecc' 'mfq' 'ghj' 'sc_' 'medraut' 'pmfq' 'bhjn' 'x_s'
 'giz' 'nrhj' 'maxbyte' 'ax' 'cx_s' 'cosmo' 'osmanli' 'bhj' 'nriz' 'nuy'
 'bxn' 'gy' 'qwm' 'xxi' 'xtsetarg' 'wwiz' 'gizw' 'qax' 'ndet_loop' 'fq'
 'scx' 'sasghm' 'qn' 'fyn' 'afit' 'yx' 'sy_' 'klj' 'ei' 'oname' 'wsh'
 'leech' 'keown' 'qw' 'pmf' 'b_' 'elin' 'mov' 'fij' 'fprintf']"	"[0.44709593 0.4447599  0.4171617  0.41368952 0.4106776  0.40894312
 0.40882713 0.40635362 0.40460736 0.40346587 0.4027241  0.40241998
 0.39920875 0.3967479  0.3947509  0.3942421  0.3941425  0.39322633
 0.3928408  0.39267212 0.39252323 0.39169306 0.39162055 0.38841125
 0.38617802 0.3843583  0.38430807 0.3840713  0.38391572 0.3821773
 0.382084   0.3818943  0.3789385  0.37849063 0.37802994 0.37748593
 0.3757431  0.37541792 0.37487888 0.37444478 0.3725533  0.37025923
 0.37000448 0.3681165  0.36761162 0.36664313 0.36630958 0.36625418
 0.3656633  0.36474603]"	371	20	1008.731	0.71	0.9372377560661278		0.41879311135064035	0.9066544274300811
1658734616	top2vec	{'doc2vec_speed': 'fast-learn', 'min_count': 30, 'embedding_model': 'doc2vec', 'umap_args': {'n_neighbors': 15, 'n_components': 5, 'metric': 'cosine', 'random_state': 42}, 'hdbscan_args': {'min_cluster_size': 10, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}}	20news	20	True	2	1654	"['eczcaw' 'fanatism' 'wainwright' 'ceux' 'gsh' 'sasghm' 'atheists'
 'kempmp' 'snm' 'atheist' 'theists' 'aucun' 'cosmo' 'chatham' 'dwyer'
 'livesey' 'theist' 'dbstu' 'pihko' 'morality' 'timmons' 'benedikt'
 'instinctive' 'solntze' 'xvoid' 'theseus' 'promiscuous' 'medraut'
 'rosenau' 'agnostic' 'atheism' 'geode' 'you' 'moral' 'mozumder'
 'jovanovic' 'hennessy' 'caralv' 'buphy' 'people' 'bake' 'acooper' 'bobbe'
 'judgements' 'darice' 'comme' 'belief' 'theism' 'nott' 'beliefs']"	"[0.4254139  0.42450017 0.4171899  0.4073414  0.40429935 0.40360534
 0.40291506 0.40271726 0.4022534  0.40142322 0.39958522 0.3983454
 0.39801854 0.3963892  0.39579827 0.39540434 0.39419818 0.39373177
 0.3926621  0.3912589  0.39002746 0.38866913 0.387178   0.38691264
 0.38671848 0.38521263 0.3814096  0.37931573 0.37930742 0.3791824
 0.37862086 0.37766236 0.3774662  0.3767013  0.3760131  0.3750206
 0.37470353 0.37433445 0.37403238 0.37149486 0.3701359  0.3698294
 0.3698104  0.36776406 0.3663962  0.36614153 0.36540842 0.36520314
 0.36508045 0.36350086]"	371	20	1008.731	0.71	0.9372377560661278		0.41879311135064035	0.9066544274300811
1658734616	top2vec	{'doc2vec_speed': 'fast-learn', 'min_count': 30, 'embedding_model': 'doc2vec', 'umap_args': {'n_neighbors': 15, 'n_components': 5, 'metric': 'cosine', 'random_state': 42}, 'hdbscan_args': {'min_cluster_size': 10, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}}	20news	20	True	3	1212	"['geode' 'simm' 'nubus' 'bitzm' 'dram' 'penev' 'cyrix' 'bhjn' 'venezia'
 'motherboard' 'desonia' 'sy_' 'scsi' 'mhz' 'pmfq' 'chatham' 'mfq'
 'controller' 'sc_' 'interlaced' 'fq' 'fdd' 'nriz' 'ide' 'cx_s' 'howtek'
 'wwiz' 'hdd' 'connector' 'ghj' 'nrhj' 'xxi' 'giz' 'slots' 'simms' 'meg'
 'nuy' 'x_s' 'card' 'ax' 'pmf' 'qax' 'wlsmith' 'adapter' 'vram' 'vlb'
 'coprocessor' 'mastering' 'rll' 'gizw']"	"[0.44875777 0.42979857 0.42674047 0.42522103 0.42166734 0.42007035
 0.41449678 0.41123298 0.41106197 0.40704483 0.4064157  0.40343535
 0.4032566  0.40308446 0.4016204  0.401151   0.40024504 0.40009245
 0.39933154 0.39919603 0.3983059  0.39808673 0.39693868 0.39685404
 0.39565498 0.39463663 0.39449823 0.39174348 0.39062828 0.389687
 0.38953665 0.389381   0.3878557  0.38782108 0.38758472 0.38653696
 0.38519758 0.38440967 0.38361084 0.38311663 0.38206753 0.3815391
 0.38152653 0.38140452 0.3813286  0.3813237  0.38014722 0.3782805
 0.3769899  0.37691778]"	371	20	1008.731	0.71	0.9372377560661278		0.41879311135064035	0.9066544274300811
1658734616	top2vec	{'doc2vec_speed': 'fast-learn', 'min_count': 30, 'embedding_model': 'doc2vec', 'umap_args': {'n_neighbors': 15, 'n_components': 5, 'metric': 'cosine', 'random_state': 42}, 'hdbscan_args': {'min_cluster_size': 10, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}}	20news	20	True	4	903	"['hawerchuk' 'andreychuk' 'cx_s' 'pmfq' 'turgeon' 'lafontaine' 'x_s'
 'tocchet' 'nriz' 'jca' 'sabretooth' 'mcfarlane' 'macinnis' 'sy_' 'sc_'
 'potvin' 'janney' 'mogilny' 'mfq' 'roenick' 'stpl' 'powerplay' 'shanahan'
 'wwiz' 'ghj' 'dchhabra' 'qwm' 'leafs' 'sabres' 'ists' 'njd' 'roughing'
 'barrasso' 'hobgoblin' 'eklund' 'qax' 'calder' 'bxn' 'bhjn' 'chelios'
 'nords' 'chatham' 'probert' 'belfour' 'devils' 'nuy' 'islanders'
 'gilmour' 'sandstrom' 'bruins']"	"[0.5173433  0.5161645  0.5097252  0.5097048  0.50006443 0.49966353
 0.49907154 0.49825817 0.49790466 0.49257404 0.4916563  0.4880936
 0.4872816  0.48641044 0.4859633  0.48573363 0.48523962 0.48385358
 0.48318893 0.48252672 0.48206407 0.4818586  0.4817931  0.48073772
 0.47682163 0.4768135  0.47445267 0.47315747 0.47169763 0.47076416
 0.46968812 0.46909615 0.46799815 0.46663868 0.46594724 0.4659167
 0.46571642 0.46226895 0.46217078 0.45990175 0.45884663 0.45863867
 0.4581933  0.45818534 0.457125   0.4569062  0.45656055 0.4557987
 0.45472443 0.45349923]"	371	20	1008.731	0.71	0.9372377560661278		0.41879311135064035	0.9066544274300811
1658734616	top2vec	{'doc2vec_speed': 'fast-learn', 'min_count': 30, 'embedding_model': 'doc2vec', 'umap_args': {'n_neighbors': 15, 'n_components': 5, 'metric': 'cosine', 'random_state': 42}, 'hdbscan_args': {'min_cluster_size': 10, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}}	20news	20	True	5	891	"['chatham' 'homicides' 'gun' 'kratz' 'ndet_loop' 'glock' 'handguns' 'guns'
 'tenn' 'liefeld' 'keown' 'linknet' 'veal' 'revolvers' 'vesselin'
 'legalization' 'mcfarlane' 'utkvm' 'pilchuck' 'overreacting' 'crime'
 'manes' 'nriz' 'fbihh' 'criminals' 'magpie' 'federalist' 'bontchev'
 'revolver' 'buyback' 'people' 'mfq' 'homicide' 'gnv' 'nmm' 'you' 'onur'
 'parsli' 'eof_not_ok' 'instinctive' 'amendment' 'constitutional' 'nicho'
 'handgun' 'sabretooth' 'hambidge' 'geode' 'oname' 'yalcin' 'ifas']"	"[0.424102   0.41277656 0.40559927 0.40451512 0.39933878 0.39355078
 0.392687   0.3895921  0.38699663 0.3849312  0.38333458 0.38276798
 0.3798206  0.3797447  0.37965974 0.3787756  0.37563705 0.37558183
 0.37479728 0.37296915 0.37275532 0.37086308 0.37061822 0.36874175
 0.36869365 0.36816782 0.36540407 0.3650815  0.36352104 0.36227107
 0.36196125 0.36062178 0.36060712 0.35989544 0.3594789  0.35863373
 0.3585324  0.3582058  0.35806862 0.3577116  0.35713297 0.35555935
 0.3553022  0.3549408  0.35436273 0.35415232 0.3535589  0.35309967
 0.35297638 0.35289073]"	371	20	1008.731	0.71	0.9372377560661278		0.41879311135064035	0.9066544274300811
1658734616	top2vec	{'doc2vec_speed': 'fast-learn', 'min_count': 30, 'embedding_model': 'doc2vec', 'umap_args': {'n_neighbors': 15, 'n_components': 5, 'metric': 'cosine', 'random_state': 42}, 'hdbscan_args': {'min_cluster_size': 10, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}}	20news	20	True	6	881	"['geode' 'xhost' 'openwinhome' 'libxmu' 'openwin' 'smartdrv' 'xvoid'
 'ndet_loop' 'smartdrive' 'xdm' 'openwindows' 'config' 'xterm' 'keymap'
 'olwm' 'autoexec' 'sunos' 'earle' 'olvwm' 'emm' 'hostname' 'xdefaults'
 'aspi' 'xsun' 'reboot' 'oname' 'motecc' 'xset' 'dblspace' 'workgroups'
 'waii' 'exec' 'lib' 'fdisk' 'pwd' 'quarterdeck' 'tty' 'sasghm' 'procomm'
 'tvtwm' 'check_io' 'twm' 'stderr' 'fprintf' 'theseus' 'problem' 'argv'
 'exe' 'xtsetarg' 'libx']"	"[0.454937   0.4398214  0.43923262 0.4341879  0.4300264  0.42971998
 0.42715645 0.4256702  0.42142403 0.41754246 0.4080243  0.40736252
 0.40713903 0.40515333 0.40267837 0.3963012  0.39507404 0.39370218
 0.39364958 0.39207426 0.39187068 0.39130494 0.391225   0.3909716
 0.39048833 0.3894408  0.38700402 0.38605928 0.38472277 0.3832036
 0.3824881  0.3809517  0.37816358 0.3776272  0.37645146 0.37445888
 0.37291825 0.37219402 0.36994636 0.36991277 0.3684095  0.36807507
 0.36728367 0.3665137  0.365106   0.3647995  0.36374018 0.36372328
 0.3631173  0.36266884]"	371	20	1008.731	0.71	0.9372377560661278		0.41879311135064035	0.9066544274300811
1658734616	top2vec	{'doc2vec_speed': 'fast-learn', 'min_count': 30, 'embedding_model': 'doc2vec', 'umap_args': {'n_neighbors': 15, 'n_components': 5, 'metric': 'cosine', 'random_state': 42}, 'hdbscan_args': {'min_cluster_size': 10, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}}	20news	20	True	7	832	"['jesus' 'sinned' 'christ' 'doctrine' 'xvoid' 'psalms' 'lord' 'hebrews'
 'god' 'baptized' 'petch' 'isaiah' 'apostles' 'gentiles' 'scriptures'
 'elohim' 'heaven' 'church' 'unto' 'preached' 'scripture' 'mcconkie'
 'disciples' 'baptism' 'psalm' 'holy' 'revelation' 'resurrection'
 'apostle' 'verse' 'check_io' 'repentance' 'creps' 'septuagint' 'bible'
 'righteousness' 'predestination' 'prophet' 'disobedience' 'jehovah'
 'prophets' 'byler' 'corinthians' 'unbelievers' 'prophecies' 'sin'
 'bernadette' 'oname' 'proverbs' 'sins']"	"[0.49804586 0.4858654  0.48475468 0.47404143 0.46644074 0.4639353
 0.46350163 0.45696872 0.45484692 0.4545383  0.4535058  0.45271128
 0.44773698 0.447025   0.44695836 0.44454825 0.44398397 0.4428473
 0.44170895 0.44122148 0.44076416 0.43666565 0.43575567 0.43428996
 0.433042   0.4311533  0.4293072  0.42895207 0.42735422 0.42722762
 0.4269122  0.4265321  0.4256374  0.42462754 0.42273334 0.42256522
 0.42067492 0.41813722 0.41778123 0.41738418 0.41713762 0.41698524
 0.41671816 0.41566548 0.41419286 0.4121909  0.4121843  0.41216892
 0.41118377 0.40980488]"	371	20	1008.731	0.71	0.9372377560661278		0.41879311135064035	0.9066544274300811
1658734616	top2vec	{'doc2vec_speed': 'fast-learn', 'min_count': 30, 'embedding_model': 'doc2vec', 'umap_args': {'n_neighbors': 15, 'n_components': 5, 'metric': 'cosine', 'random_state': 42}, 'hdbscan_args': {'min_cluster_size': 10, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}}	20news	20	True	8	755	"['mbeckman' 'uscrpac' 'strnlght' 'a_rubin' 'amanda' 'sternlight'
 'mykotronx' 'intercon' 'tcmay' 'escrow' 'gtoal' 'spooks' 'clipper'
 'templeton' 'qualcom' 'snark' 'escrowed' 'beckman' 'dsi' 'crypto'
 'omissions' 'excepted' 'pmetzger' 'rdippold' 'nsa' 'fbihh' 'vesselin'
 'bontchev' 'toal' 'wiretap' 'laissez' 'skipjack' 'wiretapping' 'hellman'
 'encryption' 'tapped' 'dorothy' 'brinich' 'metzger' 'ebrandt' 'ellisun'
 'crooks' 'dse' 'qualcomm' 'keyseach' 'denning' 'wiretaps' 'eavesdropping'
 'keys' 'chip']"	"[0.48237127 0.47988117 0.47334808 0.4722411  0.46429121 0.45511267
 0.4483202  0.44665712 0.4428106  0.43770248 0.43422127 0.42532533
 0.42392087 0.42390555 0.42305562 0.42150217 0.42121163 0.421063
 0.42053884 0.4174987  0.41728166 0.4150216  0.413845   0.41061217
 0.40534282 0.40316027 0.40280104 0.40199065 0.4011796  0.40039492
 0.40023965 0.39972606 0.39263225 0.38824755 0.3865787  0.38256282
 0.38221782 0.3782927  0.3777333  0.3759253  0.37564182 0.37512064
 0.37491962 0.3748601  0.37430176 0.3741178  0.37347037 0.37254778
 0.37021637 0.36705092]"	371	20	1008.731	0.71	0.9372377560661278		0.41879311135064035	0.9066544274300811
1658734616	top2vec	{'doc2vec_speed': 'fast-learn', 'min_count': 30, 'embedding_model': 'doc2vec', 'umap_args': {'n_neighbors': 15, 'n_components': 5, 'metric': 'cosine', 'random_state': 42}, 'hdbscan_args': {'min_cluster_size': 10, 'metric': 'euclidean', 'cluster_selection_method': 'eom'}}	20news	20	True	9	747	"['batf' 'fbi' 'koresh' 'compound' 'atf' 'kerosene' 'napalm' 'davidians'
 'dividian' 'waco' 'fire' 'survivors' 'dhartung' 'ranch' 'chatham'
 'propane' 'hartung' 'englishman' 'gunfire' 'bds' 'standoff' 'roby' 'tear'
 'armored' 'raid' 'greig' 'hobgoblin' 'oldham' 'keown' 'russotto' 'jmd'
 'bd' 'arras' 'started' 'flee' 'siege' 'rethought' 'grenades' 'rethinking'
 'reno' 'mcfarlane' 'agents' 'nriz' 'icd' 'utarlg' 'sabretooth' 'sy_'
 'tanks' 'warrant' 'fires']"	"[0.50096977 0.49700072 0.49459997 0.48986268 0.48192942 0.46783388
 0.46367767 0.46365947 0.46079534 0.4523427  0.4489053  0.44096118
 0.43955374 0.42612773 0.42369846 0.4209866  0.4180588  0.41779685
 0.41642743 0.41414404 0.41257364 0.40587628 0.4049117  0.40418398
 0.40339732 0.40332323 0.40296704 0.4018386  0.40173322 0.40022057
 0.39937586 0.39825028 0.39728683 0.396365   0.39519796 0.3947188
 0.39453283 0.39364386 0.39288086 0.39254698 0.38920727 0.3829626
 0.37724468 0.3761385  0.37500116 0.37379318 0.3727092  0.3724776
 0.37061256 0.36959815]"	371	20	1008.731	0.71	0.9372377560661278		0.41879311135064035	0.9066544274300811
